title,full_text,generated
미국의 역사 (1789-1849),1824년 미국 대통령 선거는 인격과 파벌의 영향력으로 좌우되어 앤드류 잭슨이 과반수 선거인단을 확보하지 못하고 하원의원들이 결정권을 행사하게 되는 결과를 초래했다.,1
타생오랍총관아문,"청대 시대에는 부트하라는 용어가 수렵과 채취로 동식물과 어류를 획득하는 행위를 뜻했고, 특히 흑룡강 지역의 소론, 다우르족, 오론촌 등을 포괄적으로 지칭하기도 했다.",1
변통궁,변통궁에 대한 정의는 4세기 후반 로마 점성가 파울루스 알렉산드리누스의 《점성술의 소개》 제2장을 주석한 비잔티움의 한 작품에서 찾아볼 수 있다.,1
야심작 정열맨,심영득의 짱의 비결을 묻다가 동네 한바퀴 빽어택을 당했다.,1
이주철,"1868년부터 1871년까지 삼군부사를 역임하며 인사 배치를 개편하고 신미양요 때 한성부 판윤과 총융사를 맡아 강화도 방비를 책임졌으며, 고종이 친정을 시작한 후 삼도수군통제사를 지내고 고성을 이읍하는 등 금위대장, 통사, 숭록대부 형조 판서, 공조판서, 판의금부사 등 여러 중요한 자리에 올랐다.",1
양악 수술,"악교정 수술은 턱의 위치나 모양을 변형시키는 수술이라는 정확한 학술적인 용어로, 양악 수술이라고도 불린다.",1
콩고 민주 공화국의 역사,"1977년과 1978년까지는 앙골라 인민공화국에서 비교적 평화로운 시대였지만, 카탕간 민족해방반군이 샤바 1, 2차 공격을 감행하면서 이 평화가 깨졌다.",1
초산 전투,"이곳에서 연대는 1개 소대를 중심으로 구성된 강력한 수색대를 파견하여 북한군의 활동을 수색했는데, 밤 11시경 수색대에 전해진 정보는 태천 지역에 중공군이 나타났다는 예상 밖의 소식이었다.",1
파룬궁,"2016년 6월 13일, 미국 하원은 파룬궁 수련자 등 양심수에 대한 강제 장기적출을 중단하고 박해를 끝내며 모든 양심수를 석방, 장기이식 시스템에 대한 독립적 조사를 허용하도록 중국 정부에 요구하는 결의안을 만장일치로 통과시켰다.",1
미헤소케어족,"과거 미헤소케어족은 현재보다 더 광범위한 지역에 거주했을 가능성이 있으며, 올멕 문명이 미헤소케어족 언어를 사용했을 가능성과 라 모하라 스텔라 1에 새겨진 글자를 해독한 연구 결과가 이 주장을 뒷받침하고 있다.",1
생활지도,다음은 생활지도에 대한 설명입니다.,1
자연방정식,자연방정식은 미분기하학에서 곡선의 고유한 특성을 나타내기 위해 사용되는 방정식이다.,1
사폭류,불교 경전에서 수면과 전을 통칭하여 누폭류액 또는 취라고도 한다.,1
논리 회로,제어 신호에 따라 현재 입력 신호를 저장하거나 이전 입력 신호를 유지합니다.,1
고쿠분지시,고쿠분지는 일본 도쿄도에 위치한 사찰이다.,1
테일즈런너,양수법인은 스마일게이트홀딩스에서 스마일게이트메가포트로 명칭이 변경되었다.,1
훈련자위관 소총 난사 사건,자위관 훈련 중 동료를 향해 소총을 난사한 사건이다.,1
PD수첩의 미국산 쇠고기 관련 보도,핵심적인 문제는 다음과 같은 7가지입니다.,1
ICT폴리텍대학,"2008년 9월 26일, 한국정보통신기능대학은 한국과학기술원(KAIST)과의 통합으로 인해 대학명칭 변경을 결정했지만,  KAIST 측의 반발로 인해 아직 변경되지 않고 있다.",1
리버틴스,"리버틴스 해체 이후 피트 도허티는 Babyshambles를, 칼 바랏은 개리 포웰과 함께 Dirty Pretty Things을, 존 하살은 Yeti를 결성하여 각자의 음악 활동을 이어갔다.",1
전력 MOSFET,"산화막 게이트의 얇은 두께(100nm 이하)는 제한 전압(최대 20V)을 유지할 수 있도록 하지만, 과도한 전압은 소자 파괴를 야기하고 수명을 단축시키며, RDSon 감소 효과는 미미합니다.",1
공중 급유,일부 붐식 공중급유기는 노즐에 드로그 호스를 연결하여 프로브가 달린 비행기들을 공중에서 급유합니다.,1
LG생활건강,태극제약을 2017년에 인수했다.,1
스티브 잡스,크리텐든 중학교를 졸업 후 괴롭힘을 당한 잡스는 크리스트드라이브 2066번지로 이사하면서 인근 농부에게 유기농 텃밭 가꾸기와 퇴비 만들기 등을 배우고 유기농 식재료를 좋아하게 되었다.,1
조우식,광복 이후 서울신문사와 경향신문사에서 1950년 3월까지 일했다는 기록만 남아 그의 이후 활동에 대한 정보는 부족하다.,1
조선민주주의인민공화국의 대량살상무기,"2006년 10월 9일, 조선민주주의인민공화국은 국제사회의 비난과 제재에도 불구하고 풍계리 핵 실험장에서 핵 실험을 성공적으로 진행했다고 선언했고, 이에 미국과 일본의 지진 감지 기관은 리히터 규모 4.2의 지진을 기록하며 북한의 주장이 사실일 가능성이 높다는 의견을 제시했다.",1
완생,"이 그림은 앞의 매화육궁을 기반으로 1집을 더 추가한 형태로, 처음에는 치중이 노출되어 위험해 보이지만 백 1로 치중해도 흑이 안전할 수 있다.",1
위대한 명탐정 바실,"라티건이 속상해하는 경우, 그의 애완 고양이가 움직입니다.",1
한복,"족두리는 특별한 의식 때 부인들이 머리에 쓰는 관으로, 검은 비단으로 만든 6각형 모양의 관으로, 솜이 들어가 있고 가운데를 비우고 비녀로 고정하며, 원래 몽골의 모자 장식에서 유래되어 원나라 공주의 영향으로 고려에서 유행하였다.",1
가야어,"가야어 또는 가라어는 한반도 남부 가야 지역에서 사용되었을 것으로 추정되는 언어로, 13개의 지명을 통해 그 모습을 파악하려는 시도가 있지만, 명확한 결론은 나지 않았다.",1
마리아 테레지아,"로트링겐의 프란츠 슈테판과 결혼한 그녀는 16명의 자녀를 두었으며, 그 중에는 요제프 2세와 레오폴트 2세와 같은 신성로마제국의 황제, 프랑스 왕비 마리 앙투아네트, 나폴리 왕비 마리아 카롤리나, 파르마 공비 마리아 아말리아 등 유명 인물들이 포함되었다.",1
데지마 상관장,"1543년 다네가섬에 포르투갈 선박이 좌초되면서 포르투갈과 일부 스페인인들이 선교와 무역 목적으로 일본을 방문하게 되었고, 이후 규슈 히라도섬과 나가사키에 무역소를 설립하며 번영을 누렸다.",1
기온 감률,"상승하는 불포화 공기는 건조 단열 감률로 온도가 낮아지지만, 이슬점은 공기 압력 감소로 인해 훨씬 천천히 감소하며, 충분히 상승하면 온도가 이슬점에 도달하여 응결이 시작되고, 이는 구름의 형성과 최하층 위치에 영향을 미친다.",1
브렘가르텐 바이 베른,"브렘가르텐의 가장 오래된 거주지 흔적은 로마 시대의 정착지, 자갈길, 로마 동전으로 확인되며, 중세 시대에는 성과 마을이 있었으나 현재는 흔적이 남아있지 않지만, 1978년 고성 외벽이 발견되었다.",1
경종 (조선),"1694년, 함이완의 밀고로 인해 서인의 부정한 행적을 고발한 민암은 서인의 역모 혐의로 숙종의 갑작스러운 환국으로 인해 남인이 몰락하는 계기를 마련했다.",1
묘교도,"유교 교육이 모든 학생들에게 필수 과목이었기에, 기덴도 학생인 몬죠쇼를 포함한 다른 학생들도 묘교도를 가르쳤다.",1
IGR 이와테 은하 철도,"IGR 이와테 은하 철도 여행업부문은 긴키 일본투리스트 특약점으로, 현재 구리야가와 역에 위치해 동역 업무도 겸하고 있으며, 과거에는 2006년 11월 25일까지 다키사와 역에도 점포가 있었다.",1
대니 블란치플라워,1951년 애스턴 빌라 FC로 이적한 그는 1954년 당시 최고 기록인 3만 파운드의 이적료로 토트넘 홋스퍼 FC로 이적하여 당대 토트넘의 간판 스타로 빛을 발했다.,1
홍콩 증권거래소,"데이비드 웹 책임자는 2003년부터 홍콩증권거래소 비집행 외부임원으로 재임하며, 상업시장과 규제 사이의 본질적 충돌을 인지하며 초-규제적 권한을 주장해 왔고, 홍콩증권거래소의 투자자 이해를 깊이 있게 가져야 한다고 강조했다.",1
전두환,"2006년 10월 22일 최규하 대통령이 사망하자, 23일에는 그의 빈소에 조문을 올렸다.",1
소니 엑스페리아 Z2,"퀄컴 스냅드래곤 801 프로세서(2.3GHz 쿼드코어, Adreno 330 그래픽 프로세서)가 탑재되었습니다.",1
돌핀급 잠수함,"이스라엘이 직접 구매한 것은 Tekumah 뿐이며, 1번함과 2번함은 독일이 이스라엘에 기증한 것이다.",1
프리마 카테고리아 1909-10,"1909년 연맹 회의에서 ""페데랄레""와 ""이탈리아노"" 리그가 통합되어 단일 조 형태로 운영되며, ""페데랄레 챔피언""과 ""이탈리아노 챔피언""이라는 두 개의 타이틀이 지속되었다.",1
인지적 왜곡,일반적으로 부정적인 결과를 가져온다.,1
FIFA 월드컵 기록,장기간 출전한 선수,1
삼국 시대,"삼국은 고조선 사회의 외곽에서 각기 독립적으로 형성되었고, 4세기 중반까지 국경을 접하기 전에는 교류가 적었기에 각국의 정치 조직에 고유한 특징이 나타났지만, 초기에는 당시 역사적 상황으로 인해 부체제라는 공통점을 공유했다.",1
크린스,"크린스의 주요 기독교 교단은 여전히 카톨릭교이지만, 다른 지역과 해외에서 이주한 이들이 도시 인구를 형성하고 있다.",1
그린아나콘다,"그린 아나콘다의 크기는 역사적으로 여러 차례 과장되어 묘사되었지만, 직접 관찰된 최대 길이는 6m 정도로 제한되어 있으며, 그 이상의 측정치는 신뢰성이 떨어진다.",1
공군조종장학생,"3년의 일반 장교 의무 복무 후 장학 기간을 포함하여 제대하며, 희망자는 심사를 통해 연장/장기 근무자로 선발된다.",1
돈키호테 도플라밍고,"드레스로사의 왕이며, 20왕족 돈키호테 가문의 후손이자 천룡인 출신인 돈키호테 돈키호테는 조커라는 별명으로 밀매를 하며, 과학자 시저 클라운과 협력하여 동물계 인조 악마의 열매 '스마일'을 제작해 카이도에게 팔고 있다.",1
신응희,"그는 1924년 동민회 결성과 함께 활동하며 이사, 상담역 등을 맡았고, 1926년 경성부부협의회 의원 후보자로 출마하여 1928년 급성폐렴으로 사망했다.",1
묘청의 난,"여진족은 압록강 연안과 연해주 지역에 거주하며 끊임없이 고려의 통치 아래 있었지만, 고려 관료들은 이러한 상황에 대해 소극적으로만 대응했다.",1
페르난두 페소아,"1935년 11월 29일, 복통과 고열로 병원에 이송된 페소아는 ""내일이 무엇을 가져다 줄지 나는 알지 못한다""는 유서를 남기고 30일 오후 8시경 사망, 향년 47세였다.",1
도시생태현황도,자연보호를 목표로 하는 개별 비오톱 평가는 자연형과 근자연형의 29개 비오톱을 3등급으로 나누어 평가한다.,1
그물체,"망상체는 뇌간의 중심부에 위치한 신경망으로 수면-각성, 주의, 근육 긴장, 운동, 생명 유지 반사 등을 담당하며, 이를 통해 대뇌를 비특이적으로 각성시킨다.",1
통영 충렬사,"경내에는 다수의 비석이 보존되어 있으며 그 중 가장 오래된 것은 숙종 7년(1681)에 민섬통제사가 세운 통제사충무이공충렬묘비로, 충무공 후손 통제사 비각 2동에 6기가 있고, 이운용 통제사 비각, 김중기 통제사 비각, 유형 통제사 비각이 있다.",1
히라이즈미,"일본 고유의 신앙과 자연관이 불교와의 결합을 통해 독창적인 건축 양식을 형성했으며, 이러한 과정은 불교 보급 시 지역적 수용의 모습을 보여주는 중요한 사례로 평가받는다.",1
캄피오나토 이탈리아노 디 프리마 카테고리아 1908,"이탈리아 축구의 미래를 위한 FIF의 결정은 성공적이었을지 의문이며, 급하게 시행된 규정 변화가 1908 시즌의 결과에 영향을 미쳤을 가능성을 지적하며, 이번 변화가 이탈리아 축구 발전에 기여할 것이라는 희망을 표하며, 캄피오나토 페데랄레 참가를 바란다.",1
제9군단 (미국),존 B. 콜러 소장이 9월 12일 밀번 소장의 후임으로 군단장에 취임했다.,1
김성집 (역도 선수),"그는 1948년 런던 올림픽에서 동메달을 획득한 것을 시작으로, 헬싱키 올림픽에서도 동메달을 획득하며 대한민국 올림픽 역사상 최초로 2연속 올림픽 메달리스트가 되었고, 1954년 아시안 게임 금메달, 1956년 멜버른 올림픽 5위를 기록하며 뛰어난 활약을 보였다.",1
바순다라 시티몰,"2004년 8월 6일 다카시 카르완 바자르, 판타패스에서 발생했습니다.",1
알브레히트 하우스호퍼,"1944년 7월 20일 음모 실패 후 은신하던 하우스호퍼는 12월 7일 체포되어 모아비트 교도소에 수감되었고, 1945년 4월 22일 밤 붉은 군대가 베를린에 진입한 사이 동료들과 함께 SS대원에게 총살당해 5월 12일 시체가 발견되었다.",1
폴란드 표기법,유제프 마리아 보헨스키는 고전적 명제 논리의 16가지 이진 연산자를 표현하기 위해 호환되지 않는 폴란드 표기법을 제안했다.,1
재키 로빈슨,"그 선수는 평균타율 0.311, 1518개의 안타와 137개의 홈런을 기록하며 우투우타로 주루 능력도 뛰어났다.",1
부산광역시의회,"2010년 6월 2일 치러진 제5회 전국동시지방선거에서 교육의원 6명과 함께 총 53명의 6대 의원이 선출되었고, 지역구 의원 42명과 비례대표 의원 5명이 구성되었다.",1
루마니아 총대주교 테오치스트,테오치스트의 공산주의 시절 비밀경찰 협력자들에 대한 조사 반대는 루마니아 정교회가 공산주의 붕괴 이후 청산을 피할 수 있게 했다.,1
최독견,"1959년 창간한 월간지 《야화》는 시인 조영암의 글로 인해 필화 사건에 연루되어 발행인 최독견을 비롯한 관계자들이 법적 문제에 처했고, 민족 분열을 부추길 목적이라는 비판을 받으며 폐간되었다.",1
벽제관지,1476년 조선 성종 7년에 건립된 벽제관은 중국 사신들의 한국 방문 시 사용한 공용 숙소였다.,1
플로리안 슈나이더,2020년 4월 사망한 그는 5월 6일 언론에 알려졌다.,1
규장각,"1782년 강화도 외규장각 건립으로 원래 규장각은 내규장각으로 명칭 변경 및 서적 분류 보관이 시행되었으나, 1866년 병인양요로 외규장각이 소실되면서 서적은 프랑스에 약탈되거나 화재로 잃었다.",1
집합,원소 나열법은 집합을 중괄호 안에 쉼표로 구분된 원소들을 나열하여 표현하는 방식이다.,1
백자 항아리,"본 작품은 장식 없이 단순한 형태의 대형 백자항아리로, 수리만 제외하면 상태가 양호하며, 구연부에서 견부로 향해 완만하게 부풀어 오르다가 상단부에서 팽창되다가 다시 저부로 갈수록 줄어들며 입술이 직선으로 뻗은 형태를 갖춘다.",1
로마린다 대학교,1993년에 어린이 전용 병원이 건립되었다.,1
캐나다의 역사,1871년 브리티시 컬럼비아 식민지에 약속된 대륙 횡단 캐나다 태평양 철도 건설이 1885년 밴쿠버에 이르러 개통되면서 서부를 열어주고 연결시켜 주는 중요한 요소가 되어 밴쿠버는 빠르게 성장하며 캐나다의 주요 도시로 자리매김했다.,1
화이트식 표기,"화이트 식 표기법은 비표준 증기 기관차 분류에 적합하지 않아, 정확하고 완전한 분류를 위해 UIC 분류 체계와 같은 다른 방법을 고려해야 한다.",1
빔비사라,"기원전 558년 마가다의 하리얀카 씨족 출신으로, 기원전 544년에는 프라드요타 왕조를 몰아내고 마가다 왕위에 오르게 되었다.",1
최명부,"2004년 1월 3일, 그는 지병으로 세상을 떠났다.",1
에스페란토 문자,"같은 모음이 연속될 때, 흔히 성문 파열음 /t/를 넣어 발음한다.",1
이난영,"조선악극단은 규모가 커서 C.M.C 악단, 아리랑보이즈, 저고리시스터즈 등으로 나뉘었는데, 각 팀은 고정 멤버와 형태가 다르게 구성되었다.",1
기축옥사,"정철의 배후에서 기축옥사를 조작한 범인은 송익필이라는 주장도 있으며, 그는 서자 출신으로 동인에게 앙갚음을 하기 위해 이 사건을 꾸몄다는 의혹이 제기된다.",1
최태민,1979년 중앙정보부가 최태민의 비리를 수사한 결과 1979년 10월 23일 박정희 대통령에게 보고되었다.,1
